Fri Jan 24 2025 10:28:52 GMT+0530 (India Standard Time) | GET | / | ::1 
Fri Jan 24 2025 10:28:52 GMT+0530 (India Standard Time) | GET | /favicon.ico | ::1 
Fri Jan 24 2025 10:28:58 GMT+0530 (India Standard Time) | GET | /about | ::1 
Fri Jan 24 2025 10:28:58 GMT+0530 (India Standard Time) | GET | /favicon.ico | ::1 
Fri Jan 24 2025 10:30:26 GMT+0530 (India Standard Time) | GET | /cart | ::1 
Fri Jan 24 2025 10:31:17 GMT+0530 (India Standard Time) | GET | /product | ::1 
Fri Jan 24 2025 10:31:44 GMT+0530 (India Standard Time) | GET | /cart | ::1 
Fri Jan 24 2025 10:32:58 GMT+0530 (India Standard Time) | POST | /cart | ::1 
Fri Jan 24 2025 10:33:23 GMT+0530 (India Standard Time) | GET | /order/1 | ::1 
Fri Jan 24 2025 10:40:57 GMT+0530 (India Standard Time) | GET | /pr | ::1 
Fri Jan 24 2025 10:46:31 GMT+0530 (India Standard Time) | GET | /pr | ::1 
Fri Jan 24 2025 10:49:17 GMT+0530 (India Standard Time) | POST | /pr | ::1 
Fri Jan 24 2025 10:55:46 GMT+0530 (India Standard Time) | POST | /pr | ::1 
Fri Jan 24 2025 10:59:25 GMT+0530 (India Standard Time) | POST | /pr | ::1 
Fri Jan 24 2025 10:59:39 GMT+0530 (India Standard Time) | POST | /pr | ::1 
Fri Jan 24 2025 11:06:14 GMT+0530 (India Standard Time) | POST | /pr | ::1 
Fri Jan 24 2025 11:06:29 GMT+0530 (India Standard Time) | GET | /contact | ::1 
Fri Jan 24 2025 11:08:53 GMT+0530 (India Standard Time) | GET | /favicon.ico | ::1 
Fri Jan 24 2025 11:15:26 GMT+0530 (India Standard Time) | GET | /assests | ::1 
Fri Jan 24 2025 11:15:47 GMT+0530 (India Standard Time) | GET | /assests/static_file_demo.png | ::1 
Fri Jan 24 2025 11:16:14 GMT+0530 (India Standard Time) | GET | /assets/static_file_demo.png | ::1 
Fri Jan 24 2025 11:18:10 GMT+0530 (India Standard Time) | GET | /assets/static_file_demo | ::1 
Fri Jan 24 2025 11:18:26 GMT+0530 (India Standard Time) | GET | /assets/static_file_demo.png | ::1 
